id,first_name,last_name,email,phone,gender,age,job_title,years_of_experience,salary,department,Full Name,designation,hire_date
1,Jose,Lopez,joselopez0944@slingacademy.com,Invalid,male,25,Project Manager,1,731935,Product,Jose Lopez,System Engineer,Unknown
2,Diane,Carter,dianecarter1228@slingacademy.com,Invalid,female,26,Machine Learning Engineer,2,602770,Product,Diane Carter,System Engineer,Unknown
3,Shawn,Foster,shawnfoster2695@slingacademy.com,Invalid,male,37,Project Manager,14,1463870,Product,Shawn Foster,Lead,Unknown
4,Brenda,Fisher,brendafisher3185@slingacademy.com,Invalid,female,31,Web Developer,8,861100,Product,Brenda Fisher,Senior Data Engineer,Unknown
5,Sean,Hunter,seanhunter4753@slingacademy.com,5838355842,male,35,Project Manager,11,1248595,Product,Sean Hunter,Lead,Unknown
6,Joshua,Jacobs,joshuajacobs5904@slingacademy.com,Invalid,male,28,Project Manager,3,904155,Product,Joshua Jacobs,Data Engineer,Unknown
7,Brianna,Marshall,briannamarshall6438@slingacademy.com,Invalid,female,33,Machine Learning Engineer,10,947210,Product,Brianna Marshall,Senior Data Engineer,Unknown
8,John,Tate,johntate7881@slingacademy.com,Invalid,male,33,Mobile Developer,10,947210,Product,John Tate,Senior Data Engineer,Unknown
9,Jillian,Byrd,jillianbyrd8170@slingacademy.com,Invalid,female,34,Web Developer,10,947210,Product,Jillian Byrd,Senior Data Engineer,Unknown
10,Melanie,Sharp,melaniesharp9256@slingacademy.com,Invalid,female,41,Web Developer,15,1248595,Product,Melanie Sharp,Lead,Unknown
11,Brandy,Mckee,brandymckee10500@slingacademy.com,Invalid,female,37,Web Developer,14,1205540,Product,Brandy Mckee,Lead,Unknown
12,Robert,Simpson,robertsimpson11778@slingacademy.com,Invalid,male,36,DevOps Engineer,12,1291650,Product,Robert Simpson,Lead,Unknown
13,George,Mckenzie,georgemckenzie12384@slingacademy.com,Invalid,male,28,Machine Learning Engineer,4,861100,Product,George Mckenzie,Data Engineer,Unknown
14,Joseph,Smith,josephsmith13724@slingacademy.com,Invalid,male,40,Machine Learning Engineer,14,1205540,Product,Joseph Smith,Lead,Unknown
15,Dana,Crawford,danacrawford14310@slingacademy.com,Invalid,female,32,Project Manager,8,1033320,Product,Dana Crawford,Senior Data Engineer,Unknown
16,Christopher,Benson,christopherbenson15937@slingacademy.com,Invalid,male,29,Web Developer,5,645825,Product,Christopher Benson,Data Engineer,Unknown
17,Nicole,Smith,nicolesmith16360@slingacademy.com,Invalid,female,26,Designer,4,861100,Product,Nicole Smith,Data Engineer,Unknown
18,Peter,Jimenez,peterjimenez17791@slingacademy.com,Invalid,male,28,Mobile Developer,3,559715,Product,Peter Jimenez,Data Engineer,Unknown
19,Sergio,Boyle,sergioboyle18425@slingacademy.com,3027626274,male,31,Tester,6,774990,Product,Sergio Boyle,Senior Data Engineer,Unknown
20,Brianna,Moss,briannamoss19517@slingacademy.com,Invalid,female,31,Designer,5,904155,Product,Brianna Moss,Data Engineer,Unknown
21,Taylor,Garner,taylorgarner20196@slingacademy.com,Invalid,female,32,Machine Learning Engineer,6,947210,Product,Taylor Garner,Senior Data Engineer,Unknown
22,Michael,Padilla,michaelpadilla21381@slingacademy.com,Invalid,male,29,Tester,5,818045,Product,Michael Padilla,Data Engineer,Unknown
23,Yvette,Walker,yvettewalker22744@slingacademy.com,Invalid,female,26,Designer,2,602770,Product,Yvette Walker,System Engineer,Unknown
24,Kristina,Pena,kristinapena23750@slingacademy.com,Invalid,female,34,DevOps Engineer,11,1076375,Product,Kristina Pena,Lead,Unknown
25,Vanessa,Reynolds,vanessareynolds24710@slingacademy.com,Invalid,female,36,Machine Learning Engineer,10,1119430,Product,Vanessa Reynolds,Senior Data Engineer,Unknown
26,Robert,Suarez,robertsuarez25924@slingacademy.com,Invalid,male,33,Tester,9,818045,Product,Robert Suarez,Senior Data Engineer,Unknown
27,Tammy,Ellis,tammyellis26570@slingacademy.com,Invalid,female,37,HR Manager,14,1205540,Human Resource,Tammy Ellis,Lead,Unknown
28,Rodney,Porter,rodneyporter27496@slingacademy.com,Invalid,male,28,DevOps Engineer,3,818045,Product,Rodney Porter,Data Engineer,Unknown
29,David,Reyes,davidreyes28592@slingacademy.com,Invalid,male,25,Designer,2,602770,Product,David Reyes,System Engineer,Unknown
30,Brian,Kirby,briankirby29574@slingacademy.com,Invalid,male,31,Machine Learning Engineer,8,861100,Product,Brian Kirby,Senior Data Engineer,Unknown
31,Tammy,Walker,tammywalker30386@slingacademy.com,Invalid,female,31,Web Developer,7,731935,Product,Tammy Walker,Senior Data Engineer,Unknown
32,Angela,Stewart,angelastewart31951@slingacademy.com,Invalid,female,34,HR Manager,10,861100,Human Resource,Angela Stewart,Senior Data Engineer,Unknown
33,Susan,Parker,susanparker32865@slingacademy.com,Invalid,female,25,DevOps Engineer,3,731935,Product,Susan Parker,Data Engineer,Unknown
34,Robert,Hogan,roberthogan33599@slingacademy.com,1138662041,male,24,Tester,2,602770,Product,Robert Hogan,System Engineer,Unknown
35,Dawn,Pham,dawnpham34908@slingacademy.com,Invalid,female,27,Designer,4,774990,Product,Dawn Pham,Data Engineer,Unknown
36,Karen,Duke,karenduke35869@slingacademy.com,Invalid,female,29,DevOps Engineer,6,947210,Product,Karen Duke,Senior Data Engineer,Unknown
37,Julian,Thompson,julianthompson36437@slingacademy.com,Invalid,male,28,Machine Learning Engineer,4,602770,Product,Julian Thompson,Data Engineer,Unknown
38,Daisy,Perry,daisyperry37789@slingacademy.com,Invalid,female,30,Tester,5,818045,Product,Daisy Perry,Data Engineer,Unknown
39,Sarah,Smith,sarahsmith38793@slingacademy.com,Invalid,female,24,Machine Learning Engineer,2,516660,Product,Sarah Smith,System Engineer,Unknown
40,Eric,Randolph,ericrandolph39291@slingacademy.com,Invalid,male,29,Designer,5,731935,Product,Eric Randolph,Data Engineer,Unknown
41,William,Keller,williamkeller40838@slingacademy.com,Invalid,male,30,Web Developer,4,688880,Product,William Keller,Data Engineer,Unknown
42,George,Salas,georgesalas41217@slingacademy.com,Invalid,male,35,Web Developer,11,904155,Product,George Salas,Lead,Unknown
43,Alyssa,Archer,alyssaarcher42600@slingacademy.com,Invalid,female,35,DevOps Engineer,13,1334705,Product,Alyssa Archer,Lead,Unknown
44,Daniel,Wagner,danielwagner43907@slingacademy.com,Invalid,male,35,HR Manager,11,1076375,Human Resource,Daniel Wagner,Lead,Unknown
45,David,Howard,davidhoward44518@slingacademy.com,Invalid,male,33,Machine Learning Engineer,9,990265,Product,David Howard,Senior Data Engineer,Unknown
46,Brett,Friedman,brettfriedman45236@slingacademy.com,Invalid,male,34,HR Manager,10,861100,Human Resource,Brett Friedman,Senior Data Engineer,Unknown
47,Shaun,Harris,shaunharris46875@slingacademy.com,Invalid,male,23,Designer,1,559715,Product,Shaun Harris,System Engineer,Unknown
48,Jason,Morris,jasonmorris47229@slingacademy.com,Invalid,male,28,DevOps Engineer,5,818045,Product,Jason Morris,Data Engineer,Unknown
49,Jesse,Mcdaniel,jessemcdaniel48348@slingacademy.com,Invalid,male,35,Mobile Developer,11,990265,Product,Jesse Mcdaniel,Lead,Unknown
50,Jessica,Torres,jessicatorres49971@slingacademy.com,Invalid,female,33,HR Manager,7,818045,Human Resource,Jessica Torres,Senior Data Engineer,Unknown
51,Bradley,Garcia,bradleygarcia50896@slingacademy.com,Invalid,male,29,Designer,3,559715,Product,Bradley Garcia,Data Engineer,Unknown
52,Christopher,Walker,christopherwalker51808@slingacademy.com,Invalid,male,25,Mobile Developer,1,473605,Product,Christopher Walker,System Engineer,Unknown
53,Jason,Boyd,jasonboyd52182@slingacademy.com,Invalid,male,39,Designer,14,1291650,Product,Jason Boyd,Lead,Unknown
